,stop_id,code_departement,code_postal,stop_lat,stop_lon
421,1804,92,92012,48.829690338022736,2.2305284341923346
422,1806,75,75101,48.85853410228574,2.3421172386659985
427,1848,94,94068,48.80528001222769,2.48559432484478
428,1864,75,75101,48.86087985759375,2.340973275817903
430,1870,92,92040,48.82434652601842,2.2735658296006465
434,1884,92,92012,48.83380858698028,2.243480614417395
435,1888,75,75118,48.893009056051206,2.327495839490489
438,1909,75,75116,48.87130614908782,2.293331020896217
439,1920,75,75118,48.8897381077178,2.339149086674118
440,1921,94,94003,48.8075834127928,2.333349401533708
441,1930,75,75114,48.84056772620437,2.326402815222764
442,1945,75,75108,48.86901042793762,2.3102531808960265
446,1969,92,92020,48.81028336351076,2.301288870975952
448,1985,75,75119,48.89468154198812,2.382302193974242
452,2010,94,94015,48.84442645483315,2.5263936672560128
453,2030,75,75108,48.87371526831065,2.294759562849878
454,2032,75,75111,48.85464204744478,2.385032193334828
458,2053,75,75109,48.87260817994105,2.3297068164482293
459,2054,93,93001,48.924023434909344,2.384400664689561
460,2059,94,94016,48.793228767976906,2.3208488828224305
466,2080,75,75119,48.89028877504466,2.3767786489253644
468,2087,75,75119,48.87228732058717,2.3767376773224687
469,2088,92,92012,48.83208764428255,2.238160776875514
470,2089,93,93008,48.907147312551565,2.44945750453114
478,2133,75,75120,48.8517674745052,2.4011814838726444
479,2139,75,75105,48.840594300001605,2.351755612946688
483,2160,75,75111,48.85640839965758,2.394499757609273
484,2163,92,92044,48.89201862632888,2.2855174447944844
487,2193,92,92012,48.84228014352973,2.238862975367271
489,2196,75,75102,48.86876179259638,2.3406741288121005
490,2198,94,94033,48.8434118592224,2.464815403274336
502,2256,75,75116,48.84753224211661,2.2694792821877074
504,2263,75,75115,48.84432338300201,2.317564676180599
510,2299,75,75115,48.84596388048408,2.277815126353772
523,2346,75,75116,48.84822598041119,2.257698885660922
529,2398,75,75111,48.85837884146994,2.3897347327397043
532,2420,75,75118,48.89797017040717,2.3439883834332904
533,2421,75,75118,48.89795934324147,2.3592550695796524
534,2428,75,75115,48.832253452749,2.287864137819189
535,2434,75,75119,48.88015993211241,2.3985866218697662
537,2441,75,75108,48.8724706657937,2.310769101230354
539,2453,75,75116,48.86425338440343,2.277916762028845
540,2461,93,93066,48.936477492650496,2.3596397453045825
541,2463,75,75120,48.87169981097112,2.4042987242021825
545,2491,75,75104,48.85079359474211,2.3612369937142983
553,2543,75,75112,48.83887615167852,2.389347387570293
564,3343782,75,75103,48.86097499718719,2.3672622950229414
567,3343802,75,75112,48.83266034648216,2.4004636384497804
569,3343806,94,94018,48.821489819145576,2.4138567623311062
580,140078,93,93066,48.94611087248738,2.3620451929905992
581,1635,75,75119,48.88195101817822,2.393260675857388
583,1641,75,75113,48.83851674351517,2.360727550361784
584,1644,75,75113,48.83761467578531,2.373852115680497
587,1665,75,75115,48.84499615085685,2.310864830044154
593,1694,75,75116,48.86986491248408,2.285226207250439
596,1704,93,93048,48.855680808196944,2.423659085483019
598,1714,75,75111,48.86164742429928,2.373147140772303
599,1719,75,75107,48.8509825598235,2.31442986460027
607,1749,75,75114,48.82776532658967,2.3043123507630607
609,1751,75,75120,48.847016518419125,2.410816882334764
623,1829,92,92050,48.89565993203451,2.2231003280556174
626,1854,75,75113,48.83612743975252,2.3520811178355734
630,1882,75,75120,48.8526004024001,2.4063849895661398
632,1942,92,92032,48.78763084789029,2.2920959929667464
635,1949,93,93006,48.86483490123842,2.416604379961874
654,2034,75,75110,48.8724541509199,2.3560561681302907
659,2067,94,94080,48.84536875015732,2.428244509620486
661,2069,75,75115,48.85432721855236,2.2888101037361173
662,2072,93,93008,48.895799232549,2.4248572983975945
663,2073,75,75116,48.86685615476034,2.2900380734450088
669,2095,92,92002,48.75482748503882,2.3008650705983067
678,2174,75,75115,48.83713694956265,2.296396090155559
693,2271,93,93045,48.88005106177268,2.415660206064229
702,2322,75,75101,48.86201197072052,2.3464764519062062
712,2370,92,92050,48.89532514729429,2.1958404738707524
716,2382,75,75119,48.886923877470686,2.386656434403456
729,2460,75,75108,48.87438676021276,2.3207278319647315
730,2466,75,75106,48.85344723773834,2.333046326044867
740,2536,75,75117,48.8874368425293,2.3257252220174083
747,3343335,75,75115,48.836814988805976,2.2786833464502703
755,3343797,75,75112,48.836991037652965,2.402919606870042
757,3343800,75,75112,48.83549725282465,2.4061852122149348
761,3343819,94,94028,48.76876863574218,2.464319398948263
774,1646,75,75106,48.84819826882477,2.3280217486281134
796,1725,94,94067,48.84623825662077,2.418999828109256
799,1737,75,75120,48.864336535483645,2.4088253760377283
806,1779,75,75111,48.86525985667316,2.374757081716768
807,1787,75,75114,48.83393381981092,2.31790897216328
811,1830,92,92050,48.90098901400317,2.213791712188878
826,1926,75,75115,48.85039257831968,2.2936483362305387
838,2043,75,75116,48.86429867104669,2.3012514104499293
941,3343779,75,75103,48.86307817635541,2.36674588358473
944,3343783,75,75103,48.85758654446453,2.368036694948376
