latitude,longitude,result_latitude,result_longitude,result_label,result_distance,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
48.8494,2.244,48.849412,2.243287,5 Avenue de la Porte de Saint-Cloud 75016 Paris,52,housenumber,75116_7690_00005,5,Avenue de la Porte de Saint-Cloud,,75016,Paris,"75, Paris, Île-de-France",75116,,,Paris 16e Arrondissement
48.930494,2.422094,48.930743,2.421861,1 Rue du Chevalier de la Barre 93350 Le Bourget,32,housenumber,93013_1440_00001,1,Rue du Chevalier de la Barre,,93350,Le Bourget,"93, Seine-Saint-Denis, Île-de-France",93013,,,
48.946139,2.463214,48.946116,2.462002,10 Cite Notre Dame 93150 Le Blanc-Mesnil,88,housenumber,93007_a060_00010,10,Cite Notre Dame,,93150,Le Blanc-Mesnil,"93, Seine-Saint-Denis, Île-de-France",93007,,,
48.951817,2.488219,48.952596,2.487004,19 Allée Pablo Picasso 93600 Aulnay-sous-Bois,123,housenumber,93005_2625_00019,19,Allée Pablo Picasso,,93600,Aulnay-sous-Bois,"93, Seine-Saint-Denis, Île-de-France",93005,,,
48.947036,2.525344,48.946746,2.524327,44 Avenue Dumont d’Urville 93270 Sevran,80,housenumber,93071_0469_00044,44,Avenue Dumont d’Urville,,93270,Sevran,"93, Seine-Saint-Denis, Île-de-France",93071,,,
48.935836,2.534747,48.935718,2.534763,5 Place Michel Debre 93270 Sevran,13,housenumber,93071_lq3ez5_00005,5,Place Michel Debre,,93270,Sevran,"93, Seine-Saint-Denis, Île-de-France",93071,,,
48.904425,2.556567,48.904207,2.557243,13b Rue Berthe Morisot 93370 Montfermeil,55,housenumber,93047_0165_00013_b,13b,Rue Berthe Morisot,,93370,Montfermeil,"93, Seine-Saint-Denis, Île-de-France",93047,,,
48.874317,2.585808,48.874428,2.585821,31 Boulevard Chilpéric 77500 Chelles,12,housenumber,77108_0830_00031,31,Boulevard Chilpéric,,77500,Chelles,"77, Seine-et-Marne, Île-de-France",77108,,,
48.8434553153,2.5807873316,48.843336,2.579823,1 Boulevard du Ru de Nesles 93160 Noisy-le-Grand,71,housenumber,93051_2143_00001,1,Boulevard du Ru de Nesles,,93160,Noisy-le-Grand,"93, Seine-Saint-Denis, Île-de-France",93051,,,
48.918155,2.344332,48.918258,2.344476,35 Boulevard Ornano 93200 Saint-Denis,15,housenumber,93066_6870_00035,35,Boulevard Ornano,,93200,Saint-Denis,"93, Seine-Saint-Denis, Île-de-France",93066,,,
48.929097,2.384133,48.928877,2.384379,74 Avenue du Général Leclerc 93120 La Courneuve,30,housenumber,93027_4140_00074,74,Avenue du Général Leclerc,,93120,La Courneuve,"93, Seine-Saint-Denis, Île-de-France",93027,,,
48.930494,2.422094,48.930743,2.421861,1 Rue du Chevalier de la Barre 93350 Le Bourget,32,housenumber,93013_1440_00001,1,Rue du Chevalier de la Barre,,93350,Le Bourget,"93, Seine-Saint-Denis, Île-de-France",93013,,,
48.918155,2.344332,48.918258,2.344476,35 Boulevard Ornano 93200 Saint-Denis,15,housenumber,93066_6870_00035,35,Boulevard Ornano,,93200,Saint-Denis,"93, Seine-Saint-Denis, Île-de-France",93066,,,
48.929097,2.384133,48.928877,2.384379,74 Avenue du Général Leclerc 93120 La Courneuve,30,housenumber,93027_4140_00074,74,Avenue du Général Leclerc,,93120,La Courneuve,"93, Seine-Saint-Denis, Île-de-France",93027,,,
48.946572,2.436222,48.946415,2.436554,106 Avenue du 8 Mai 1945 93150 Le Blanc-Mesnil,29,housenumber,93007_1245_00106,106,Avenue du 8 Mai 1945,,93150,Le Blanc-Mesnil,"93, Seine-Saint-Denis, Île-de-France",93007,,,
48.978414,2.475833,,,,,,,,,,,,,,,,
48.974756,2.515647,48.975589,2.515547,117 Avenue des Nations 93420 Villepinte,92,housenumber,93078_0962_00117,117,Avenue des Nations,,93420,Villepinte,"93, Seine-Saint-Denis, Île-de-France",93078,,,
49.004703,2.570239,49.004013,2.571054,12107 Aeroport Charles de Gaulle 2 Tgv 77990 Le Mesnil-Amelot,97,housenumber,77291_mjubf9_01210_7,12107,Aeroport Charles de Gaulle 2 Tgv,,77990,Le Mesnil-Amelot,"77, Seine-et-Marne, Île-de-France",77291,,,
49.010114,2.570606,49.009248,2.568584,1217 Aeroport Charles de Gaulle 93290 Tremblay-en-France,176,housenumber,93073_a005_01217,1217,Aeroport Charles de Gaulle,,93290,Tremblay-en-France,"93, Seine-Saint-Denis, Île-de-France",93073,,,
49.025439,2.595731,49.023058,2.594624,8 Rue de Paris 77990 Le Mesnil-Amelot,276,housenumber,77291_0220_00008,8,Rue de Paris,,77990,Le Mesnil-Amelot,"77, Seine-et-Marne, Île-de-France",77291,,,
48.72991364522915,2.3680290369907837,48.731427,2.369942,17 Promenade d’Orly 91550 Paray-Vieille-Poste,218,housenumber,91479_1155_00017,17,Promenade d’Orly,,91550,Paray-Vieille-Poste,"91, Essonne, Île-de-France",91479,,,
48.735497,2.309431,48.735322,2.309669,2 Avenue Leon Harmel 92160 Antony,26,housenumber,92002_5153_00002,2,Avenue Leon Harmel,,92160,Antony,"92, Hauts-de-Seine, Île-de-France",92002,,,
48.731561,2.290911,48.731696,2.290391,1 Place Antoine de Saint Exupery 91300 Massy,40,housenumber,91377_0270_00001,1,Place Antoine de Saint Exupery,,91300,Massy,"91, Essonne, Île-de-France",91377,,,
48.72414852610061,2.259342348954552,48.723965,2.259562,108 Avenue Carnot 91300 Massy,25,housenumber,91377_0810_00108,108,Avenue Carnot,,91300,Massy,"91, Essonne, Île-de-France",91377,,,
48.715417,2.201039,48.715211,2.201758,Avenue de la Vauve 91120 Palaiseau,57,street,91477_5040,,Avenue de la Vauve,,91120,Palaiseau,"91, Essonne, Île-de-France",91477,,,
48.711814,2.173853,48.710231,2.175659,2 Rue Jean Rostand 91400 Orsay,220,housenumber,91471_2799_00002,2,Rue Jean Rostand,,91400,Orsay,"91, Essonne, Île-de-France",91471,,,
48.729981,2.162208,48.730438,2.163897,16 Carrefour du Christ 91400 Saclay,133,housenumber,91534_0070_00016,16,Carrefour du Christ,,91400,Saclay,"91, Essonne, Île-de-France",91534,,,
48.760819,2.072256,48.761717,2.071165,5 Clos Adrienne Bolland 78280 Guyancourt,127,housenumber,78297_0247_00005,5,Clos Adrienne Bolland,,78280,Guyancourt,"78, Yvelines, Île-de-France",78297,,,
48.788001721416194,2.0435778777578633,48.788016,2.043838,7 Avenue Paul Delouvrier 78180 Montigny-le-Bretonneux,19,housenumber,78423_1494_00007,7,Avenue Paul Delouvrier,,78180,Montigny-le-Bretonneux,"78, Yvelines, Île-de-France",78423,,,
48.787100,2.104336,48.786276,2.105983,1 Boulevard Soult 78000 Versailles,151,housenumber,78646_1830_00001,1,Boulevard Soult,,78000,Versailles,"78, Yvelines, Île-de-France",78646,,,
48.7952802463,2.1360504883,48.795989,2.13576,4 Place Raymond Poincaré 78000 Versailles,81,housenumber,78646_2360_00004,4,Place Raymond Poincaré,,78000,Versailles,"78, Yvelines, Île-de-France",78646,,,
48.891863,2.169205,48.891871,2.169338,2 Rue Guy de Maupassant 92500 Rueil-Malmaison,9,housenumber,92063_1768_00002,2,Rue Guy de Maupassant,,92500,Rueil-Malmaison,"92, Hauts-de-Seine, Île-de-France",92063,,,
48.798822653,2.38151097174,48.798883,2.381769,84 Boulevard de Stalingrad 94400 Vitry-sur-Seine,20,housenumber,94081_8580_00084,84,Boulevard de Stalingrad,,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,
48.7928915693,2.38620665464,48.792907,2.385887,5 Avenue Eugène Pelletan 94400 Vitry-sur-Seine,23,housenumber,94081_3180_00005,5,Avenue Eugène Pelletan,,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,
